--Fold 1:
--Epoch 1/30: Train Loss 0.5740, Train Acc 0.4888, Val Loss 0.7854, Val Acc 0.8800, Best Acc 0.88
--Epoch 2/30: Train Loss 0.1018, Train Acc 0.9356, Val Loss 0.4054, Val Acc 0.9225, Best Acc 0.9225
--Epoch 3/30: Train Loss 0.0248, Train Acc 0.9925, Val Loss 0.3216, Val Acc 0.9300, Best Acc 0.93
--Epoch 4/30: Train Loss 0.0091, Train Acc 0.9994, Val Loss 0.2711, Val Acc 0.9400, Best Acc 0.94
--Epoch 5/30: Train Loss 0.0044, Train Acc 1.0000, Val Loss 0.2500, Val Acc 0.9425, Best Acc 0.9425
--Epoch 6/30: Train Loss 0.0028, Train Acc 1.0000, Val Loss 0.2410, Val Acc 0.9400, Best Acc 0.9425
--Epoch 7/30: Train Loss 0.0019, Train Acc 1.0000, Val Loss 0.2350, Val Acc 0.9425, Best Acc 0.9425
--Epoch 8/30: Train Loss 0.0014, Train Acc 1.0000, Val Loss 0.2317, Val Acc 0.9425, Best Acc 0.9425
--Epoch 9/30: Train Loss 0.0011, Train Acc 1.0000, Val Loss 0.2297, Val Acc 0.9450, Best Acc 0.945
--Epoch 10/30: Train Loss 0.0008, Train Acc 1.0000, Val Loss 0.2287, Val Acc 0.9450, Best Acc 0.945
--Epoch 11/30: Train Loss 0.0006, Train Acc 1.0000, Val Loss 0.2285, Val Acc 0.9450, Best Acc 0.945
--Epoch 12/30: Train Loss 0.0005, Train Acc 1.0000, Val Loss 0.2288, Val Acc 0.9450, Best Acc 0.945
--Epoch 13/30: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2296, Val Acc 0.9450, Best Acc 0.945
--Epoch 14/30: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2308, Val Acc 0.9450, Best Acc 0.945
--Epoch 15/30: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2323, Val Acc 0.9425, Best Acc 0.945
--Epoch 16/30: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2341, Val Acc 0.9425, Best Acc 0.945
--Epoch 17/30: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2361, Val Acc 0.9425, Best Acc 0.945
--Epoch 18/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2365, Val Acc 0.9450, Best Acc 0.945
--Epoch 19/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2387, Val Acc 0.9450, Best Acc 0.945
--Epoch 20/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2410, Val Acc 0.9425, Best Acc 0.945
--Epoch 21/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2435, Val Acc 0.9425, Best Acc 0.945
--Epoch 22/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2462, Val Acc 0.9400, Best Acc 0.945
--Epoch 23/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2490, Val Acc 0.9400, Best Acc 0.945
--Epoch 24/30: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2500, Val Acc 0.9350, Best Acc 0.945
--Epoch 25/30: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2526, Val Acc 0.9350, Best Acc 0.945
--Epoch 26/30: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2556, Val Acc 0.9350, Best Acc 0.945
--Epoch 27/30: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2585, Val Acc 0.9350, Best Acc 0.945
